RDP timeline around latest authentication event
Center event time: 2026-03-08 18:09:50
Window: 2026-03-08 18:06:50 to 2026-03-08 18:12:50

2026-03-08 18:09:50.174 | Microsoft-Windows-RemoteDesktopServices-RdpCoreTS/Operational | ID 131 | Information | The server accepted a new TCP connection from client 192.168.1.237:62068.
2026-03-08 18:09:50.175 | Microsoft-Windows-TerminalServices-RemoteConnectionManager/Operational | ID 261 | Information | Listener RDP-Tcp received a connection
2026-03-08 18:09:50.252 | Microsoft-Windows-RemoteDesktopServices-RdpCoreTS/Operational | ID 143 | Warning | TCP socket WRITE operation failed, error 64
2026-03-08 18:09:50.252 | Microsoft-Windows-RemoteDesktopServices-RdpCoreTS/Operational | ID 226 | Warning | RDP_TCP: An error was encountered when transitioning from StateUnknown in response to Event_Disconnect (error code 0x80070040).
2026-03-08 18:09:50.252 | Microsoft-Windows-RemoteDesktopServices-RdpCoreTS/Operational | ID 142 | Warning | TCP socket READ operation failed, error 64
2026-03-08 18:09:50.253 | Microsoft-Windows-RemoteDesktopServices-RdpCoreTS/Operational | ID 102 | Information | The server has terminated main RDP connection with the client.
2026-03-08 18:09:50.253 | Microsoft-Windows-RemoteDesktopServices-RdpCoreTS/Operational | ID 145 | Information | During this connection, server has not sent data or graphics update for 0 seconds (Idle1: 0, Idle2: 0).
2026-03-08 18:09:50.253 | Microsoft-Windows-RemoteDesktopServices-RdpCoreTS/Operational | ID 148 | Information | Channel rdpinpt has been closed between the server and the client on transport tunnel: 0.
2026-03-08 18:09:50.253 | Microsoft-Windows-RemoteDesktopServices-RdpCoreTS/Operational | ID 148 | Information | Channel rdpcmd has been closed between the server and the client on transport tunnel: 0.
2026-03-08 18:09:50.253 | Microsoft-Windows-RemoteDesktopServices-RdpCoreTS/Operational | ID 148 | Information | Channel Microsoft::Windows::RDS::CoreInput has been closed between the server and the client on transport tunnel: 1.
2026-03-08 18:09:50.253 | Microsoft-Windows-RemoteDesktopServices-RdpCoreTS/Operational | ID 148 | Information | Channel rdplic has been closed between the server and the client on transport tunnel: 0.
2026-03-08 18:09:50.295 | Microsoft-Windows-RemoteDesktopServices-RdpCoreTS/Operational | ID 131 | Information | The server accepted a new TCP connection from client 192.168.1.237:62069.
2026-03-08 18:09:50.296 | Microsoft-Windows-TerminalServices-RemoteConnectionManager/Operational | ID 261 | Information | Listener RDP-Tcp received a connection
2026-03-08 18:09:50.328 | Microsoft-Windows-RemoteDesktopServices-RdpCoreTS/Operational | ID 101 | Warning | The network characteristics detection function has been disabled because of Reason Code: 2(Server Configuration)..
2026-03-08 18:09:50.328 | Microsoft-Windows-TerminalServices-RemoteConnectionManager/Operational | ID 1149 | Information | Remote Desktop Services: User authentication succeeded: User: Domain: Source Network Address: 192.168.1.237
2026-03-08 18:09:50.332 | Microsoft-Windows-TerminalServices-LocalSessionManager/Operational | ID 40 | Information | Session 1 has been disconnected, reason code 5
2026-03-08 18:09:50.686 | Microsoft-Windows-TerminalServices-LocalSessionManager/Operational | ID 24 | Information | Remote Desktop Services: Session has been disconnected: User: DESKTOP-DS9NSON\theod Session ID: 1 Source Network Address: LOCAL
2026-03-08 18:10:12.308 | Microsoft-Windows-RemoteDesktopServices-RdpCoreTS/Operational | ID 148 | Information | Channel Microsoft::Windows::RDS::Video::Control::v08.01 has been closed between the server and the client on transport tunnel: 0.
2026-03-08 18:10:12.308 | Microsoft-Windows-RemoteDesktopServices-RdpCoreTS/Operational | ID 148 | Information | Channel Microsoft::Windows::RDS::Video::Data::v08.01 has been closed between the server and the client on transport tunnel: 0.
2026-03-08 18:10:12.308 | Microsoft-Windows-RemoteDesktopServices-RdpCoreTS/Operational | ID 148 | Information | Channel Microsoft::Windows::RDS::Geometry::v08.01 has been closed between the server and the client on transport tunnel: 0.
2026-03-08 18:11:12.326 | Microsoft-Windows-RemoteDesktopServices-RdpCoreTS/Operational | ID 142 | Warning | TCP socket READ operation failed, error 10054
2026-03-08 18:11:12.326 | Microsoft-Windows-RemoteDesktopServices-RdpCoreTS/Operational | ID 226 | Warning | RDP_TCP: An error was encountered when transitioning from StateUnknown in response to Event_Disconnect (error code 0x80072746).
2026-03-08 18:11:12.326 | Microsoft-Windows-RemoteDesktopServices-RdpCoreTS/Operational | ID 226 | Warning | RDP_SEC: An error was encountered when transitioning from FStateProcessingData in response to FEventPostReceiveFailed (error code 0x80072746).
